id,nome,umidade_pct,energia_kcal,energia_kj,proteina_g,lipideos_g,colesterol_mg,carboidrato_g,fibra_g,cinzas_g,calcio_mg,magnesio_mg,cluster,perfil_nutricional,objetivo_nutricional
579, Paçoca amendoim,1.8,487.0,2037.0,16.0,26.1,76.5,52.4,7.3,3.8,22.0,101.0,1,Alta Energia/Carbo,Ganho de Massa Muscular
580, Pé-de-moleque amendoim,2.9,503.0,2105.0,13.2,28.0,76.5,54.7,3.4,1.1,27.0,108.0,1,Alta Energia/Carbo,Ganho de Massa Muscular
581, Soja farinha,5.8,404.0,1690.0,36.0,14.6,76.5,38.4,20.2,5.1,206.0,242.0,2,Alimentos em Fibras,Ganho de Massa Muscular
582, Soja extrato solúvel natural fluido,91.3,39.0,164.0,2.4,1.6,76.5,4.3,0.4,0.5,17.0,15.0,3,Leves / Baixa caloria,Equilibrado
583, Soja extrato solúvel pó,4.5,459.0,1920.0,35.7,26.2,76.5,28.5,7.3,5.2,359.0,216.0,0,Proteinas,Ganho de Massa Muscular
584, Soja queijo (tofu),86.6,64.0,270.0,6.6,4.0,76.5,2.1,0.8,0.7,81.0,38.0,3,Leves / Baixa caloria,Equilibrado
586, Tremoço em conserva,67.7,121.0,505.0,11.1,3.8,76.5,12.4,14.4,5.0,16.0,4.0,2,Alimentos em Fibras,Diabetes
587, Amêndoa torrada salgada,3.1,581.0,2430.0,18.6,47.3,76.5,29.5,11.6,1.5,237.0,222.0,2,Alimentos em Fibras,Ganho de Massa Muscular
588, Castanha-de-caju torrada salgada,3.5,570.0,2386.0,18.5,46.3,76.5,29.1,3.7,2.6,33.0,237.0,1,Alta Energia/Carbo,Ganho de Massa Muscular
593, Gergelim semente,3.9,584.0,2442.0,21.2,50.4,76.5,21.6,11.9,2.9,825.0,361.0,2,Alimentos em Fibras,Diabetes
594, Linhaça semente,6.7,495.0,2072.0,14.1,32.3,76.5,43.3,33.5,3.7,211.0,347.0,2,Alimentos em Fibras,Ganho de Massa Muscular
595, Pinhão cozido,50.5,174.0,730.0,3.0,0.7,76.5,43.9,15.6,1.8,16.0,53.0,2,Alimentos em Fibras,Emagrecimento
596, Pupunha cozida,54.5,219.0,914.0,2.5,12.8,76.5,29.6,4.3,0.7,28.0,25.0,3,Leves / Baixa caloria,Equilibrado
